Date, PDO from ERSST V3b https://psl.noaa.gov/pdo/ Using EOF from 1920 to 2014 for N Pacific (see webpage)
1854-01-01,    0.315
1854-02-01,    0.165
1854-03-01,    0.161
1854-04-01,    0.181
1854-05-01,    0.199
1854-06-01,    0.076
1854-07-01,   -0.320
1854-08-01,   -0.881
1854-09-01,   -0.987
1854-10-01,   -1.364
1854-11-01,   -1.642
1854-12-01,   -1.197
1855-01-01,    0.160
1855-02-01,    0.524
1855-03-01,    0.759
1855-04-01,    0.397
1855-05-01,   -0.137
1855-06-01,   -0.485
1855-07-01,   -0.269
1855-08-01,    0.018
1855-09-01,   -0.132
1855-10-01,    0.222
1855-11-01,    0.323
1855-12-01,    0.596
1856-01-01,    0.823
1856-02-01,    0.972
1856-03-01,    0.715
1856-04-01,    0.209
1856-05-01,   -0.136
1856-06-01,   -0.164
1856-07-01,    0.100
1856-08-01,   -0.169
1856-09-01,   -0.283
1856-10-01,   -0.028
1856-11-01,    0.158
1856-12-01,    0.044
1857-01-01,   -0.393
1857-02-01,   -0.584
1857-03-01,   -0.412
1857-04-01,   -0.068
1857-05-01,    0.807
1857-06-01,    1.101
1857-07-01,    1.158
1857-08-01,    1.342
1857-09-01,    0.679
1857-10-01,    0.650
1857-11-01,    0.632
1857-12-01,    0.337
1858-01-01,    0.079
1858-02-01,   -0.126
1858-03-01,   -0.277
1858-04-01,    0.186
1858-05-01,    0.431
1858-06-01,    0.481
1858-07-01,    0.356
1858-08-01,    0.458
1858-09-01,    0.519
1858-10-01,    0.348
1858-11-01,    0.324
1858-12-01,    0.094
1859-01-01,   -0.252
1859-02-01,   -0.330
1859-03-01,   -0.620
1859-04-01,   -0.859
1859-05-01,   -0.791
1859-06-01,   -0.776
1859-07-01,   -0.545
1859-08-01,   -0.357
1859-09-01,   -0.418
1859-10-01,   -0.220
1859-11-01,   -0.290
1859-12-01,   -0.609
1860-01-01,   -0.612
1860-02-01,   -0.590
1860-03-01,   -0.615
1860-04-01,   -0.568
1860-05-01,   -0.361
1860-06-01,   -0.406
1860-07-01,   -0.400
1860-08-01,   -0.058
1860-09-01,   -0.012
1860-10-01,   -0.246
1860-11-01,   -0.573
1860-12-01,   -0.688
1861-01-01,   -0.573
1861-02-01,   -0.376
1861-03-01,   -0.283
1861-04-01,   -0.227
1861-05-01,   -0.207
1861-06-01,   -0.277
1861-07-01,   -0.087
1861-08-01,   -0.042
1861-09-01,   -0.061
1861-10-01,   -0.208
1861-11-01,   -0.330
1861-12-01,   -0.420
