"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2C870B0D","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/14/2009 10:25:00 AM","NA","0","LEMHIW","10/14/2009 11:40:00 AM","1"
"3D9.1C2C870B0D","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/15/2009 12:11:00 PM","NA","0","LEMHIR","10/15/2009 12:45:00 PM","1"
"3D9.1C2C870E04","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/1/2009 10:05:00 AM","NA","0","LEMHIW","10/1/2009 11:50:00 AM","1"
"3D9.1C2C870E04","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","11/7/2009 12:42:00 PM","NA","0","LEMHIR","11/7/2009 1:10:00 PM","1"
"3D9.1C2C8718D1","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/30/2009 10:01:00 AM","NA","0","LEMHIW","10/30/2009 10:45:00 AM","1"
"3D9.1C2C8718D1","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","4/11/2010 2:42:00 PM","NA","0","LEMHIR","4/11/2010 2:50:00 PM","1"
"3D9.1C2C8E6555","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/9/2009 11:34:00 AM","NA","0","LEMHIW","10/9/2009 12:37:00 PM","1"
"3D9.1C2C8E6555","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/10/2009 2:23:00 PM","NA","0","LEMHIR","10/10/2009 3:56:00 PM","1"
"3D9.1C2C8E7026","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","11/2/2009 9:35:00 AM","NA","0","LEMHIW","11/2/2009 9:44:00 AM","1"
"3D9.1C2C8E7026","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","11/6/2009 10:56:00 AM","NA","0","LEMHIR","11/6/2009 11:48:00 AM","1"
"3D9.1C2C8E7055","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/11/2009 11:52:00 AM","NA","0","LEMHIW","10/11/2009 1:13:00 PM","1"
"3D9.1C2C8E7055","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/29/2009 11:59:00 AM","NA","0","LEMHIR","10/29/2009 12:59:00 PM","1"
"3D9.1C2C8E7259","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/6/2009 2:09:00 PM","NA","0","LEMHIW","10/6/2009 3:22:00 PM","1"
"3D9.1C2C8E7259","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","10/6/2009 6:33:32 PM","A2","100","","","1"
"3D9.1C2C8E7259","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","4/23/2010 10:09:00 AM","NA","0","LEMHIR","4/23/2010 10:51:00 AM","1"
"3D9.1C2C8E7259","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LEMHIW","10/8/2009 12:22:00 PM","NA","0","LEMHIW","10/8/2009 1:16:00 PM","1"
"3D9.1C2C8E76ED","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","9/28/2009 12:16:00 PM","NA","0","LEMHIW","9/28/2009 3:05:00 PM","1"
"3D9.1C2C8E76ED","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/22/2009 10:32:00 AM","NA","0","LEMHIR","10/22/2009 11:24:00 AM","1"
"3D9.1C2C8E831B","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","11/1/2009 11:13:00 AM","NA","0","LEMHIW","11/1/2009 11:25:00 AM","1"
"3D9.1C2C8E831B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/7/2010 3:25:23 PM","01","160","","","1"
"3D9.1C2C8E831B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/7/2010 3:25:26 PM","02","160","","","1"
"3D9.1C2C8E831B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/7/2010 3:25:28 PM","03","160","","","1"
"3D9.1C2C8E831B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/7/2010 3:25:32 PM","04","160","","","1"
"3D9.1C2C8E831B","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","11/2/2009 11:46:00 AM","NA","0","LEMHIR","11/2/2009 12:18:00 PM","1"
"3D9.1C2C8E88B2","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","9/29/2009 10:58:00 AM","NA","0","LEMHIW","9/29/2009 12:00:00 PM","1"
