"dceGroup","dceType","dceID","SurveyDateTime","StreamName","SiteName","dceName","SiteDescription","WettedWidth","SiteLength","BSCoordinateSource","BSLatitudeDD","BSLongitudeDD","BSPositionAccuracy","Datum","GRTSSiteID","GRTSLatitudeDD","GRTSLongitudeDD","Notes","PTAGISrkmCode","SubBasin","TSCoordinateSource","TSLatitudeDD","TSLongitudeDD","TSPositionAccuracy","Watershed","ProgramID","ProtocolName","ProjectName","SampledStatus","Gradient","WidthCategory","CreatedBy","CreatedDate","LastUpdatedBy","LastUpdatedDate","recordID_fldLog","dateTrans","dceID_cdb","ProgramName","DesignName","dataLoggerID","LoggerAppVersion","importDate","importSrc","importRecID","trans_SupDB","TimeZone","Crew","Equipment","rowID","Season","EndDateTime","SurveyDirection","VisitNumber","WaterTemperatureBegin","WaterTemperatureEnd","TotalFishCount","ReleaseDateTime","ReleaseTemperature","ReleaseSiteName","SurveyTiming","OriginalFile","dceNameARS","TSWettedWidth","BSWettedWidth","AvgWettedWidth","dataSet","GPSLogInterval","RiverLocationDS","RiverLocationUS","SurveyType","TrapLocation","DSReleaseLongitude","DSReleaseLatitude","DSPositionAccuracy","USReleaseLongitude","USReleaseLatitude","QA_Feb1016_RelationToFldLog_LF","QA_Feb1016_FldLog_LF_DceID"
"7","Depletion",7,"2011-07-20 16:40:00","Hawley Creek","LEM-043471","LEM-043471-20110720-1040","",,120,"Handheld GPS",44.66101,-113.25181,2,"NAD83","CBW05583-043471",44.66119199,-113.250756,"","","Lemhi","Handheld GPS",44.6609,-113.24994,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Jake Kwapiszeski","2011-07-20 16:40:00","Jake Kwapiszeski","2011-07-20 16:41:00",,,6196,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Matt Brower","Samus Shocker 4",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 4 vs 4.  fldLog_LF.dceID = 7",7
"8","Depletion",8,"2011-07-17 19:22:00","Cruikshank Creek","LEM-048847","LEM-048847-20110717-1322","",,160,"Handheld GPS",44.76041,-113.20306,9,"NAD83","CBW05583-048847",44.76066997,-113.203339,"","","Lemhi","Handheld GPS",44.76062,-113.20179,7,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Jordan Lanman","2011-07-17 19:23:00","Jordan Lanman","2011-07-17 19:23:00",,,6197,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Matt Brower;Jordan Lanman","Samus Shocker 3",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 58 vs 58.  fldLog_LF.dceID = 8",8
"9","Depletion",9,"2011-07-16 19:03:00","Canyon Creek","LEM-049615","LEM-049615-20110716-1303","",8,160,"Handheld GPS",44.73241,-113.27556,3,"NAD83","CBW05583-049615",44.73266797,-113.2760009,"","","Lemhi","Handheld GPS",44.73315,-113.27565,4,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Mitch Daniel","2011-07-16 19:04:00","Mitch Daniel","2011-07-16 19:04:00",,,6198,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Jake Kwapiszeski;Phil Adams","Samus Shocker 3",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 62 vs 62.  fldLog_LF.dceID = 9",9
"10","Count",10,"2011-07-02 13:38:00","Hawley Creek","LEM-050639","LEM-050639-20110702-0738","",6,120,"Handheld GPS",44.67136,-113.27406,3,"NAD83","CBW05583-050639",44.67138998,-113.273885,"","","Lemhi","Handheld GPS",44.67103,-113.27324,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Phil Adams","2011-07-02 14:07:00","Phil Adams","2011-07-02 14:07:00",,,6199,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Phil Adams;Matt Brower","Samus Shocker 4",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 1 vs 1.  fldLog_LF.dceID = 10",10
"11","Depletion",11,"2011-07-04 14:27:00","Little Eightmile Creek","LEM-510383","LEM-510383-20110704-0827","",6,120,"Handheld GPS",44.76672674,-113.4434449,0,"NAD83","CBW05583-510383",44.76672674,-113.4434449,"","","Lemhi","Handheld GPS",44.7449,-113.45699,0,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Mitch Daniel","2011-07-04 14:28:00","Mitch Daniel","2011-07-05 19:07:00",,,6200,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Phil Adams;Matt Brower","Samus Shocker 4",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (10) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 11",11
"12","Depletion",12,"2011-07-15 19:36:00","Canyon Creek","LEM-063951","LEM-063951-20110715-1336","",,160,"Handheld GPS",44.71426,-113.28211,3,"NAD83","CBW05583-063951",44.71640993,-113.2819669,"","","Lemhi","Handheld GPS",44.71562,-113.28186,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Jake Kwapiszeski","2011-07-15 19:36:00","Jake Kwapiszeski","2011-07-15 19:37:00",,,6201,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Matt Brower","Samus Shocker 3",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 42 vs 42.  fldLog_LF.dceID = 12",12
"13","Depletion",13,"2011-07-02 07:00:00","Reservoir Creek","LEM-068047","LEM-068047-20110702-0100","",,160,"Handheld GPS",44.6803,-113.15617,3,"NAD83","CBW05583-068047",44.68105895,-113.1564929,"","","Lemhi","Handheld GPS",44.68133,-113.15561,4,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Phil Adams","2011-07-02 18:02:00","Matt Brower","2011-07-02 23:18:00",,,6202,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Phil Adams","Samus Shocker 4",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 28 vs 28.  fldLog_LF.dceID = 13",13
"14","Depletion",14,"2011-06-29 14:50:00","Big Springs Creek","Big0Springs-4","Big0Springs-4-20110629-0850","",,240,"Handheld GPS",44.71085,-113.40722,3,"NAD83","Big0Springs-4",44.71085,113.4088,"","","Lemhi","Handheld GPS",44.70979,-113.40722,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"12","Jake Kwapiszeski","2011-06-29 13:50:00","Jake Kwapiszeski","2011-06-29 19:30:00",,,6203,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Claire Niewendorp;Jake Kwapiszeski","Samus Shocker 3",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unresolved.  Once match with fldLog_LF determined via datetime part of dceName, it NOT confirmed via same record count between the 2 fishObs tables.  However, the siteName seems to match up.",774
"15","Mark",15,"2011-06-30 14:07:00","Big Springs Creek","Big0Springs-5","Big0Springs-5-20110630-0807","",,200,"Handheld GPS",44.7168,-113.41599,3,"NAD83","Big0Springs-5",44.71676,113.41578,"","","Lemhi","Handheld GPS",44.71579,-113.41447,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"10","Jordan Lanman","2011-06-30 14:07:00","Jordan Lanman","2011-06-30 18:08:00",,,6204,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Jake Kwapiszeski;Phil Adams;Jordan Lanman","Samus Shocker 3;Samus Shocker 4",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unresolved.  Once match with fldLog_LF determined via datetime part of dceName, it NOT confirmed via same record count between the 2 fishObs tables.  However, the siteName seems to match up.",775
"1","Depletion",1,"2011-07-18 17:00:00","Kenney Creek","LEM-121695","LEM-121695-20110718-1100","",6,120,"Handheld GPS",45.04025,-113.62264,4,"NAD83","CBW05583-121695",45.04066696,-113.6218259,"","","Lemhi","Handheld GPS",45.04079,-113.62146,4,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Phil Adams","2011-07-18 20:27:00","Phil Adams","2011-07-18 21:43:00",,,6190,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Phil Adams;Matt Brower","Samus Shocker 4",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (29) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 1",1
